full_name,2020/21 ,2020/21(*)
Justin Anderson,"$125,000","$147,940"
Didi Louzada,"$123,056","$145,639"
Amida Brimah,"$123,056","$145,639"
Troy Williams,"$122,741","$145,266"
James Nunnally,"$107,674","$127,434"
Demetrius Jackson,"$92,857","$109,898"
Dakota Mathias,"$86,132","$101,939"
Malik Fitts,"$61,528","$72,819"
Jeremiah Martin,"$58,452","$69,179"
Jerian Grant,"$50,000","$59,176"
Louis King,"$49,222","$58,255"
Cameron Oliver,"$43,070","$50,974"
Cam Reynolds,"$33,299","$39,410"
Andrew White,"$25,000","$29,588"
Tyler Hall,"$25,000","$29,588"
Elijah Bryant,"$24,611","$29,127"
Caleb Homesley,"$20,000","$23,670"
